Month,AtlantaHawks,BrooklynNets,BostonCeltics,CharlotteHornets,ChicagoBulls,ClevelandCavaliers,DallasMavericks,DenverNuggets,DetroitPistons,GoldenStateWarriors,HoustonRockets,IndianaPacers,LosAngelesClippers,LosAngelesLakers,MemphisGrizzlies,MiamiHeat,MilwaukeeBucks,MinnesotaTimberwolves,NewOrleansPelicans,NewYorkKnicks,OklahomaCityThunder,OrlandoMagic,Philadelphia76ers,PhoenixSuns,PortlandTrailBlazers,SacramentoKings,SanAntonioSpurs,TorontoRaptors,UtahJazz,WashingtonWizards
2012-07,1,4,4,2,4,2,3,1,1,2,3,1,2,17,<1,7,1,1,1,6,2,1,1,2,1,1,1,1,1,1
2012-08,<1,2,2,1,3,1,1,1,1,1,1,<1,1,12,<1,3,1,1,<1,2,2,1,1,1,1,1,1,1,<1,1
2012-09,<1,2,2,1,2,1,1,<1,1,1,1,<1,1,6,<1,3,1,<1,<1,2,1,<1,1,1,<1,<1,1,1,<1,1
2012-10,1,3,4,1,4,1,2,1,1,2,2,1,2,13,1,6,1,1,1,4,2,1,1,1,1,1,1,<1,1,1
2012-11,1,5,5,2,5,2,3,2,1,3,4,1,3,20,2,7,2,2,1,9,4,1,2,2,2,1,3,1,1,1
2012-12,1,4,5,2,5,2,2,2,1,3,3,1,3,15,1,7,1,2,2,10,4,1,2,1,1,1,3,1,1,2
2013-01,1,3,6,2,6,2,2,2,1,3,3,1,4,16,1,7,1,1,2,7,4,1,1,2,2,3,2,1,1,2
2013-02,1,2,6,1,6,2,2,2,1,4,3,2,3,15,1,8,1,1,1,6,3,1,1,2,1,1,3,1,1,2
2013-03,2,2,5,1,7,2,2,3,1,3,3,1,3,16,1,20,1,1,1,6,4,1,1,1,1,2,3,1,1,1
2013-04,1,3,6,1,8,1,2,3,1,5,4,1,4,18,2,11,2,1,1,10,5,1,1,1,1,2,5,<1,2,1
2013-05,1,2,4,1,15,1,1,1,1,10,3,12,2,5,6,27,1,<1,1,13,7,<1,1,1,1,2,14,<1,<1,1
2013-06,3,2,5,1,4,2,2,1,1,2,1,7,2,6,1,58,1,1,1,3,2,1,1,1,1,2,39,<1,1,1
2013-07,1,2,4,1,4,2,2,1,2,3,3,1,2,11,1,5,1,1,2,5,2,1,1,1,1,1,2,1,1,1
2013-08,1,1,2,1,2,1,1,<1,1,2,1,1,1,5,<1,3,1,<1,1,3,1,<1,1,1,1,1,1,<1,<1,1
2013-09,<1,1,1,1,2,1,1,<1,1,1,1,<1,1,4,<1,3,1,<1,<1,2,1,<1,<1,1,<1,1,1,<1,<1,1
2013-10,1,2,3,1,8,2,5,1,1,3,2,1,2,7,1,7,1,1,1,4,2,1,1,1,1,1,2,1,1,1
2013-11,1,3,4,1,7,2,6,2,2,4,4,3,3,10,1,9,2,2,2,6,3,1,3,2,2,2,3,1,1,2
2013-12,1,3,4,2,6,2,4,1,2,4,4,4,2,11,1,10,1,1,1,6,3,1,1,2,3,2,4,1,1,1
2014-01,1,3,4,1,6,2,5,1,1,4,3,3,2,9,1,9,1,1,1,7,4,1,2,2,2,2,3,1,1,2
2014-02,1,2,3,1,5,2,4,1,2,4,3,3,3,8,1,9,1,1,1,6,4,1,2,2,2,1,3,1,1,2
2014-03,1,2,3,1,7,2,4,1,1,3,4,3,3,7,1,10,1,1,1,7,4,1,2,2,2,1,4,1,1,2
2014-04,4,4,2,2,9,1,7,1,2,7,6,6,20,6,3,12,1,1,1,5,7,1,1,2,4,1,8,2,1,4
2014-05,3,6,2,1,3,2,5,<1,1,5,4,16,16,6,1,26,1,<1,<1,3,20,1,1,1,6,2,24,1,1,5
2014-06,1,1,3,2,5,3,3,1,1,2,2,1,2,8,<1,32,1,1,1,5,4,1,2,1,1,3,37,<1,1,1
2014-07,1,1,3,2,7,13,4,1,1,2,3,1,2,14,<1,8,1,1,1,6,2,1,2,2,1,1,3,<1,1,1
2014-08,1,1,1,1,3,6,2,<1,1,2,1,1,1,5,<1,3,1,1,<1,3,1,<1,1,1,1,1,2,<1,<1,1
2014-09,1,1,1,1,3,3,2,<1,1,2,1,<1,1,4,<1,2,1,1,<1,2,1,<1,1,1,<1,1,1,<1,<1,1
2014-10,1,1,2,2,6,8,3,1,1,3,2,1,2,8,1,5,1,1,1,5,2,1,1,1,1,1,3,1,1,1
2014-11,2,2,3,2,9,11,4,2,2,6,4,2,3,11,2,6,2,2,2,6,3,1,2,2,3,2,5,1,1,2
2014-12,2,2,3,2,8,9,5,1,2,7,4,1,3,10,2,6,2,1,2,6,4,1,2,2,2,2,5,1,1,3
2015-01,5,2,3,2,9,9,3,1,3,7,3,1,3,8,2,5,2,1,1,6,4,1,2,2,3,1,4,1,1,3
2015-02,4,1,3,1,7,9,3,1,2,6,3,1,2,6,1,5,2,2,1,4,4,1,2,2,2,1,3,1,1,2
2015-03,3,2,3,1,6,8,3,1,1,6,3,1,2,5,1,5,2,1,1,3,4,1,2,2,2,1,5,1,1,2
2015-04,5,3,6,1,11,10,5,1,1,11,8,2,6,4,3,4,5,1,4,3,4,1,1,1,3,1,12,2,1,3
2015-05,12,1,2,1,19,29,1,<1,1,28,23,<1,16,5,4,2,2,1,1,3,1,1,1,1,1,1,6,<1,<1,4
2015-06,3,1,3,1,4,42,1,1,1,44,2,1,3,9,1,3,2,1,1,5,1,1,2,1,1,1,2,1,1,1
2015-07,1,1,3,1,3,5,3,1,1,3,2,1,3,13,1,4,2,1,1,6,2,1,2,1,1,2,4,1,1,1
2015-08,1,1,1,1,2,3,1,<1,1,2,1,1,1,5,<1,2,1,<1,<1,3,1,<1,1,1,1,1,1,1,<1,1
2015-09,1,1,1,1,2,3,1,<1,1,2,1,<1,1,4,<1,2,1,1,<1,2,1,<1,1,1,1,1,1,<1,<1,1
2015-10,2,1,2,1,6,6,2,1,2,5,2,1,2,8,1,3,2,2,1,4,3,1,1,1,1,2,3,1,1,1
2015-11,2,2,4,2,8,9,3,2,3,20,4,2,4,10,2,5,2,2,1,7,4,1,3,2,2,2,5,1,2,2
2015-12,2,2,5,2,8,10,3,1,2,30,3,2,3,10,1,5,3,2,2,6,4,1,3,2,2,2,6,1,2,2
2016-01,2,2,4,2,10,14,4,2,3,24,4,2,3,9,1,5,2,1,1,7,4,1,3,2,2,3,11,1,1,2
2016-02,2,1,6,2,7,11,3,1,3,23,3,2,3,8,1,6,2,1,1,7,6,2,2,2,3,2,6,1,2,2
2016-03,2,1,4,2,8,9,3,1,3,31,3,2,3,10,1,6,2,1,1,5,5,1,2,2,2,2,10,1,2,2
2016-04,5,1,10,4,7,13,5,1,5,52,9,3,6,13,3,8,1,2,1,3,7,1,2,1,5,2,14,2,2,1
2016-05,3,1,3,2,3,36,1,<1,1,84,2,2,1,8,1,13,1,1,1,3,45,1,2,1,5,1,17,16,1,1
2016-06,1,1,5,1,5,88,2,1,1,100,2,1,1,11,<1,3,1,1,1,8,3,1,4,1,1,1,2,1,1,1
2016-07,2,2,9,1,8,11,3,1,1,14,2,2,2,14,1,6,2,1,1,10,3,1,4,1,2,1,4,1,1,1
2016-08,1,1,3,1,3,4,1,1,1,4,1,1,1,6,<1,2,1,1,<1,4,2,1,2,1,1,1,1,<1,<1,1
2016-09,1,1,2,1,3,4,1,<1,1,4,1,1,1,5,<1,2,1,1,<1,3,1,<1,1,1,1,1,1,<1,<1,1
2016-10,2,2,4,1,6,10,2,1,2,14,2,1,2,9,1,3,2,1,1,7,3,1,3,2,2,2,5,1,1,1
2016-11,3,2,5,2,8,14,3,1,2,23,3,2,4,14,1,3,3,2,2,8,8,1,4,2,3,2,5,1,2,2
2016-12,2,2,5,2,8,16,2,1,2,24,5,2,4,9,2,3,3,2,1,9,5,1,3,2,2,2,6,1,2,2
2017-01,3,2,6,2,7,18,2,1,2,22,5,2,3,8,2,3,3,2,1,8,5,1,6,2,3,2,5,1,2,2
2017-02,2,2,9,2,7,16,3,2,2,21,4,2,3,10,1,5,2,2,4,8,7,1,5,2,2,3,4,1,2,3
2017-03,2,2,7,1,6,15,3,2,2,22,5,2,3,7,1,5,3,2,2,5,6,1,3,2,3,2,8,1,2,3
2017-04,4,1,16,1,14,21,2,1,1,24,9,5,6,6,3,4,6,2,1,3,10,1,2,1,4,1,12,3,7,5
2017-05,1,1,36,1,3,37,1,<1,1,35,11,1,2,6,<1,2,1,1,1,2,1,1,2,1,1,1,28,2,4,9
2017-06,1,1,10,1,5,68,2,1,2,70,3,1,2,16,<1,3,2,2,1,5,2,1,5,2,1,2,3,1,1,1
2017-07,1,1,10,1,3,13,2,1,2,8,6,1,2,16,1,4,2,3,1,8,4,1,4,2,1,2,5,1,2,1
2017-08,1,1,7,1,2,10,1,1,1,4,2,1,1,6,<1,2,1,1,1,4,2,1,2,1,1,1,2,<1,1,1
2017-09,1,1,4,1,2,10,1,1,1,4,2,1,1,6,<1,2,1,1,1,4,4,<1,1,1,1,1,2,<1,1,1
2017-10,2,2,13,2,5,20,2,2,2,16,5,1,3,15,1,3,4,3,2,6,7,2,5,3,2,2,5,1,2,3
2017-11,2,2,20,2,5,20,2,2,3,19,5,2,2,16,1,3,4,3,2,9,8,2,7,3,2,2,5,1,2,3
2017-12,2,2,14,2,6,21,2,2,3,18,7,2,2,15,1,3,4,3,1,7,8,1,6,2,2,2,6,1,2,3
2018-01,2,2,12,2,6,23,2,2,4,19,7,2,4,13,1,4,4,3,2,6,7,1,4,2,2,2,5,2,2,2
2018-02,2,2,11,1,5,30,3,2,4,16,7,2,2,15,1,5,4,3,2,5,8,1,5,2,2,2,4,1,4,3
2018-03,1,1,9,1,4,18,2,2,2,14,9,2,2,13,1,5,5,3,2,4,6,1,6,2,4,2,6,2,4,2
2018-04,1,1,16,1,3,38,1,2,1,22,13,11,1,7,1,7,10,7,6,3,12,1,17,1,4,1,10,4,10,4
2018-05,1,1,52,1,3,76,1,<1,1,58,49,1,1,6,<1,2,3,1,4,3,2,1,12,1,1,1,2,5,5,1
2018-06,1,1,7,1,4,52,3,1,2,48,3,1,1,15,1,3,3,1,1,5,3,1,5,2,1,1,4,1,1,1
2018-07,2,1,6,1,4,6,2,1,2,8,5,1,2,37,1,3,4,1,1,5,4,1,5,2,1,2,5,2,1,1
2018-08,1,1,3,1,2,3,1,1,1,4,3,1,1,10,<1,2,2,1,1,3,2,1,2,1,1,1,2,1,1,1
2018-09,1,1,4,1,2,2,1,1,1,4,2,1,1,10,<1,2,2,1,1,2,2,1,2,1,1,1,2,1,1,1
2018-10,2,2,9,1,4,6,3,3,3,15,7,2,2,34,1,4,5,3,2,6,4,1,5,3,3,2,5,2,3,2
2018-11,2,2,10,2,4,7,3,3,3,18,6,2,3,32,2,4,7,5,2,5,5,2,10,2,3,3,4,3,3,3
2018-12,2,2,10,2,5,5,4,3,3,16,6,2,3,33,2,4,8,3,2,5,5,1,7,3,3,3,5,2,3,3
2019-01,2,2,10,2,4,4,4,4,2,17,9,2,2,26,1,3,7,3,2,5,6,2,7,2,3,3,5,2,3,2
2019-02,2,2,12,2,5,4,6,4,4,18,8,3,3,40,2,4,8,2,3,9,6,2,14,3,3,3,4,3,4,2
