,Date,Team,Popularity,MonthNum,pred,Season,W,L,W.L.,Finish,Playoffs,Top WS,IndPlayoffs,PO_diff,NP_diff,Bandwagon,Market,Size,pred_by_pop,diff,Succ_Cat,DarkHorseDiff,FavoriteDiff,ContenderDiff,BWScore
11,11/1/04,AtlantaHawks,1,11,1.415655751,2003,28,54,0.341,7,Did Not Make Playoffs,S. Abdur-RahimåÊ(6.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.340843569,-0.415655751,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
12,12/1/04,AtlantaHawks,1,12,1.382613738,2003,28,54,0.341,7,Did Not Make Playoffs,S. Abdur-RahimåÊ(6.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.314854151,-0.382613738,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
13,1/1/05,AtlantaHawks,1,1,-0.573694646,2004,13,69,0.159,5,Did Not Make Playoffs,J. ChildressåÊ(4.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.203855473,1.573694646,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
14,2/1/05,AtlantaHawks,1,2,-0.580262894,2004,13,69,0.159,5,Did Not Make Playoffs,J. ChildressåÊ(4.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.202415,1.580262894,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
15,3/1/05,AtlantaHawks,1,3,-0.659692867,2004,13,69,0.159,5,Did Not Make Playoffs,J. ChildressåÊ(4.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.113344367,1.659692867,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
16,4/1/05,AtlantaHawks,1,4,-0.503732399,2004,13,69,0.159,5,Did Not Make Playoffs,J. ChildressåÊ(4.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.276565284,1.503732399,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
17,5/1/05,AtlantaHawks,1,5,-0.271349202,2004,13,69,0.159,5,Did Not Make Playoffs,J. ChildressåÊ(4.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.519794237,1.271349202,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
18,6/1/05,AtlantaHawks,1,6,-0.568986025,2004,13,69,0.159,5,Did Not Make Playoffs,J. ChildressåÊ(4.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.220041086,1.568986025,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
19,7/1/05,AtlantaHawks,1,7,-0.789274247,2004,13,69,0.159,5,Did Not Make Playoffs,J. ChildressåÊ(4.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,-0.021094081,1.789274247,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
20,8/1/05,AtlantaHawks,1,8,-1.173755096,2004,13,69,0.159,5,Did Not Make Playoffs,J. ChildressåÊ(4.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,-0.41774052,2.173755096,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
21,9/1/05,AtlantaHawks,0,9,-1.212260177,2004,13,69,0.159,5,Did Not Make Playoffs,J. ChildressåÊ(4.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,-0.458063027,1.212260177,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
22,10/1/05,AtlantaHawks,1,10,-0.737763292,2004,13,69,0.159,5,Did Not Make Playoffs,J. ChildressåÊ(4.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.03702985,1.737763292,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
23,11/1/05,AtlantaHawks,1,11,-0.5187037,2004,13,69,0.159,5,Did Not Make Playoffs,J. ChildressåÊ(4.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.258216314,1.5187037,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
24,12/1/05,AtlantaHawks,1,12,-0.534110386,2004,13,69,0.159,5,Did Not Make Playoffs,J. ChildressåÊ(4.6),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.246098081,1.534110386,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
25,1/1/06,AtlantaHawks,1,1,1.050939347,2005,26,56,0.317,5,Did Not Make Playoffs,J. JohnsonåÊ(6.0),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.957831614,-0.050939347,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
26,2/1/06,AtlantaHawks,1,2,1.037844161,2005,26,56,0.317,5,Did Not Make Playoffs,J. JohnsonåÊ(6.0),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.954959727,-0.037844161,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
27,3/1/06,AtlantaHawks,1,3,0.879483774,2005,26,56,0.317,5,Did Not Make Playoffs,J. JohnsonåÊ(6.0),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.777378653,0.120516226,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
28,4/1/06,AtlantaHawks,1,4,1.190423826,2005,26,56,0.317,5,Did Not Make Playoffs,J. JohnsonåÊ(6.0),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.10279394,-0.190423826,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
29,5/1/06,AtlantaHawks,0,5,1.653728691,2005,26,56,0.317,5,Did Not Make Playoffs,J. JohnsonåÊ(6.0),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.587722106,-1.653728691,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
30,6/1/06,AtlantaHawks,0,6,1.060326975,2005,26,56,0.317,5,Did Not Make Playoffs,J. JohnsonåÊ(6.0),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.990101043,-1.060326975,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
31,7/1/06,AtlantaHawks,1,7,0.621135992,2005,26,56,0.317,5,Did Not Make Playoffs,J. JohnsonåÊ(6.0),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.509347284,0.378864008,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
32,8/1/06,AtlantaHawks,0,8,-0.145407589,2005,26,56,0.317,5,Did Not Make Playoffs,J. JohnsonåÊ(6.0),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.718549037,0.145407589,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
33,9/1/06,AtlantaHawks,0,9,-0.222175581,2005,26,56,0.317,5,Did Not Make Playoffs,J. JohnsonåÊ(6.0),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.638157623,0.222175581,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
34,10/1/06,AtlantaHawks,1,10,0.723833933,2005,26,56,0.317,5,Did Not Make Playoffs,J. JohnsonåÊ(6.0),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.625229586,0.276166067,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
35,11/1/06,AtlantaHawks,1,11,1.160575384,2005,26,56,0.317,5,Did Not Make Playoffs,J. JohnsonåÊ(6.0),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.066211404,-0.160575384,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
36,12/1/06,AtlantaHawks,1,12,1.129858909,2005,26,56,0.317,5,Did Not Make Playoffs,J. JohnsonåÊ(6.0),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.042051153,-0.129858909,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
37,1/1/07,AtlantaHawks,1,1,1.554781534,2006,30,52,0.366,5,Did Not Make Playoffs,J. ChildressåÊ(5.5),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.50178624,-0.554781534,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
38,2/1/07,AtlantaHawks,1,2,1.539662171,2006,30,52,0.366,5,Did Not Make Playoffs,J. ChildressåÊ(5.5),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.498470434,-0.539662171,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
39,3/1/07,AtlantaHawks,1,3,1.356823366,2006,30,52,0.366,5,Did Not Make Playoffs,J. ChildressåÊ(5.5),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.293439919,-0.356823366,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
40,4/1/07,AtlantaHawks,0,4,1.715826706,2006,30,52,0.366,5,Did Not Make Playoffs,J. ChildressåÊ(5.5),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.669155992,-1.715826706,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
41,5/1/07,AtlantaHawks,0,5,2.250746518,2006,30,52,0.366,5,Did Not Make Playoffs,J. ChildressåÊ(5.5),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,3.229041508,-2.250746518,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
42,6/1/07,AtlantaHawks,1,6,1.565620247,2006,30,52,0.366,5,Did Not Make Playoffs,J. ChildressåÊ(5.5),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.539043688,-0.565620247,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
43,7/1/07,AtlantaHawks,1,7,1.058541699,2006,30,52,0.366,5,Did Not Make Playoffs,J. ChildressåÊ(5.5),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.983977833,-0.058541699,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
44,8/1/07,AtlantaHawks,0,8,0.173510309,2006,30,52,0.366,5,Did Not Make Playoffs,J. ChildressåÊ(5.5),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.070942634,-0.173510309,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
45,9/1/07,AtlantaHawks,0,9,0.084875971,2006,30,52,0.366,5,Did Not Make Playoffs,J. ChildressåÊ(5.5),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.978124787,-0.084875971,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
46,10/1/07,AtlantaHawks,1,10,1.177114085,2006,30,52,0.366,5,Did Not Make Playoffs,J. ChildressåÊ(5.5),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.117772542,-0.177114085,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
47,11/1/07,AtlantaHawks,1,11,1.681364467,2006,30,52,0.366,5,Did Not Make Playoffs,J. ChildressåÊ(5.5),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.626918741,-0.681364467,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
48,12/1/07,AtlantaHawks,1,12,1.645900019,2006,30,52,0.366,5,Did Not Make Playoffs,J. ChildressåÊ(5.5),No Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.599023941,-0.645900019,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
49,1/1/08,AtlantaHawks,1,1,0.870371843,2007,37,45,0.451,3,Lost 1st Round,J. ChildressåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.526879971,0.129628157,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
50,2/1/08,AtlantaHawks,1,2,1.016589808,2007,37,45,0.451,3,Lost 1st Round,J. ChildressåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.684775686,-0.016589808,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
51,3/1/08,AtlantaHawks,1,3,0.903718853,2007,37,45,0.451,3,Lost 1st Round,J. ChildressåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.552570203,0.096281147,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
52,4/1/08,AtlantaHawks,1,4,1.971161931,2007,37,45,0.451,3,Lost 1st Round,J. ChildressåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.641406109,-0.971161931,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
53,5/1/08,AtlantaHawks,1,5,-0.119953163,2007,37,45,0.451,3,Lost 1st Round,J. ChildressåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.516005152,1.119953163,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
54,6/1/08,AtlantaHawks,0,6,-0.161305477,2007,37,45,0.451,3,Lost 1st Round,J. ChildressåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.466253589,0.161305477,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
55,7/1/08,AtlantaHawks,0,7,0.317365597,2007,37,45,0.451,3,Lost 1st Round,J. ChildressåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.972506023,-0.317365597,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
56,8/1/08,AtlantaHawks,0,8,-0.152297531,2007,37,45,0.451,3,Lost 1st Round,J. ChildressåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.482433147,0.152297531,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
57,9/1/08,AtlantaHawks,0,9,-0.209600344,2007,37,45,0.451,3,Lost 1st Round,J. ChildressåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.432917224,0.209600344,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
58,10/1/08,AtlantaHawks,1,10,0.242703479,2007,37,45,0.451,3,Lost 1st Round,J. ChildressåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.881805486,0.757296521,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
59,11/1/08,AtlantaHawks,1,11,0.746045238,2007,37,45,0.451,3,Lost 1st Round,J. ChildressåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.399662276,0.253954762,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
60,12/1/08,AtlantaHawks,1,12,0.95520292,2007,37,45,0.451,3,Lost 1st Round,J. ChildressåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.614234668,0.04479708,Dark Horse,-0.174048542,0,-1.15162722,-0.977578679
61,1/1/09,AtlantaHawks,1,1,1.694006696,2008,47,35,0.573,2,Lost Conf. Semis,J. JohnsonåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.843762743,-0.694006696,Contender,-0.174048542,0,-1.15162722,-0.977578679
62,2/1/09,AtlantaHawks,1,2,1.637368533,2008,47,35,0.573,2,Lost Conf. Semis,J. JohnsonåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.78424272,-0.637368533,Contender,-0.174048542,0,-1.15162722,-0.977578679
63,3/1/09,AtlantaHawks,1,3,1.683404057,2008,47,35,0.573,2,Lost Conf. Semis,J. JohnsonåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.833921727,-0.683404057,Contender,-0.174048542,0,-1.15162722,-0.977578679
64,4/1/09,AtlantaHawks,1,4,3.376611439,2008,47,35,0.573,2,Lost Conf. Semis,J. JohnsonåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,4.519535286,-2.376611439,Contender,-0.174048542,0,-1.15162722,-0.977578679
65,5/1/09,AtlantaHawks,1,5,5.181646601,2008,47,35,0.573,2,Lost Conf. Semis,J. JohnsonåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,6.378489563,-4.181646601,Contender,-0.174048542,0,-1.15162722,-0.977578679
66,6/1/09,AtlantaHawks,0,6,0.300283196,2008,47,35,0.573,2,Lost Conf. Semis,J. JohnsonåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.418369575,-0.300283196,Contender,-0.174048542,0,-1.15162722,-0.977578679
67,7/1/09,AtlantaHawks,0,7,0.804949323,2008,47,35,0.573,2,Lost Conf. Semis,J. JohnsonåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.938717632,-0.804949323,Contender,-0.174048542,0,-1.15162722,-0.977578679
68,8/1/09,AtlantaHawks,0,8,0.109343124,2008,47,35,0.573,2,Lost Conf. Semis,J. JohnsonåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.250883219,-0.109343124,Contender,-0.174048542,0,-1.15162722,-0.977578679
69,9/1/09,AtlantaHawks,0,9,-0.113139709,2008,47,35,0.573,2,Lost Conf. Semis,J. JohnsonåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.024318983,0.113139709,Contender,-0.174048542,0,-1.15162722,-0.977578679
70,10/1/09,AtlantaHawks,1,10,0.827026453,2008,47,35,0.573,2,Lost Conf. Semis,J. JohnsonåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.9593503,0.172973547,Contender,-0.174048542,0,-1.15162722,-0.977578679
71,11/1/09,AtlantaHawks,1,11,1.4992397,2008,47,35,0.573,2,Lost Conf. Semis,J. JohnsonåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.645649301,-0.4992397,Contender,-0.174048542,0,-1.15162722,-0.977578679
72,12/1/09,AtlantaHawks,1,12,1.798483409,2008,47,35,0.573,2,Lost Conf. Semis,J. JohnsonåÊ(7.6),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.949687188,-0.798483409,Contender,-0.174048542,0,-1.15162722,-0.977578679
73,1/1/10,AtlantaHawks,1,1,2.444628731,2009,53,29,0.646,2,Lost Conf. Semis,A. HorfordåÊ(10.9),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,3.654144125,-1.444628731,Contender,-0.174048542,0,-1.15162722,-0.977578679
74,2/1/10,AtlantaHawks,1,2,2.384974957,2009,53,29,0.646,2,Lost Conf. Semis,A. HorfordåÊ(10.9),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,3.593962752,-1.384974957,Contender,-0.174048542,0,-1.15162722,-0.977578679
75,3/1/10,AtlantaHawks,1,3,2.394542632,2009,53,29,0.646,2,Lost Conf. Semis,A. HorfordåÊ(10.9),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,3.602747695,-1.394542632,Contender,-0.174048542,0,-1.15162722,-0.977578679
76,4/1/10,AtlantaHawks,1,4,4.159354505,2009,53,29,0.646,2,Lost Conf. Semis,A. HorfordåÊ(10.9),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,5.363299159,-3.159354505,Contender,-0.174048542,0,-1.15162722,-0.977578679
77,5/1/10,AtlantaHawks,1,5,6.071081324,2009,53,29,0.646,2,Lost Conf. Semis,A. HorfordåÊ(10.9),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,7.333924591,-5.071081324,Contender,-0.174048542,0,-1.15162722,-0.977578679
78,6/1/10,AtlantaHawks,1,6,1.053067051,2009,53,29,0.646,2,Lost Conf. Semis,A. HorfordåÊ(10.9),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.236182087,-0.053067051,Contender,-0.174048542,0,-1.15162722,-0.977578679
79,7/1/10,AtlantaHawks,1,7,1.45659456,2009,53,29,0.646,2,Lost Conf. Semis,A. HorfordåÊ(10.9),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.645820288,-0.45659456,Contender,-0.174048542,0,-1.15162722,-0.977578679
80,8/1/10,AtlantaHawks,0,8,0.584465707,2009,53,29,0.646,2,Lost Conf. Semis,A. HorfordåÊ(10.9),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.775877762,-0.584465707,Contender,-0.174048542,0,-1.15162722,-0.977578679
81,9/1/10,AtlantaHawks,0,9,0.34430444,2009,53,29,0.646,2,Lost Conf. Semis,A. HorfordåÊ(10.9),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.530800676,-0.34430444,Contender,-0.174048542,0,-1.15162722,-0.977578679
82,10/1/10,AtlantaHawks,1,10,1.502321373,2009,53,29,0.646,2,Lost Conf. Semis,A. HorfordåÊ(10.9),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.693138785,-0.502321373,Contender,-0.174048542,0,-1.15162722,-0.977578679
83,11/1/10,AtlantaHawks,1,11,2.27510915,2009,53,29,0.646,2,Lost Conf. Semis,A. HorfordåÊ(10.9),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,3.480988804,-1.27510915,Contender,-0.174048542,0,-1.15162722,-0.977578679
84,12/1/10,AtlantaHawks,1,12,2.567279349,2009,53,29,0.646,2,Lost Conf. Semis,A. HorfordåÊ(10.9),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,3.779462974,-1.567279349,Contender,-0.174048542,0,-1.15162722,-0.977578679
85,1/1/11,AtlantaHawks,1,1,1.323836925,2010,44,38,0.537,3,Lost Conf. Semis,A. HorfordåÊ(10.1),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.44412261,-0.323836925,Contender,-0.174048542,0,-1.15162722,-0.977578679
86,2/1/11,AtlantaHawks,1,2,1.268685913,2010,44,38,0.537,3,Lost Conf. Semis,A. HorfordåÊ(10.1),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.384928731,-0.268685913,Contender,-0.174048542,0,-1.15162722,-0.977578679
87,3/1/11,AtlantaHawks,1,3,1.332705582,2010,44,38,0.537,3,Lost Conf. Semis,A. HorfordåÊ(10.1),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,2.454774675,-0.332705582,Contender,-0.174048542,0,-1.15162722,-0.977578679
88,4/1/11,AtlantaHawks,2,4,2.990601159,2010,44,38,0.537,3,Lost Conf. Semis,A. HorfordåÊ(10.1),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,4.103432554,-0.990601159,Contender,-0.174048542,0,-1.15162722,-0.977578679
89,5/1/11,AtlantaHawks,3,5,4.743021259,2010,44,38,0.537,3,Lost Conf. Semis,A. HorfordåÊ(10.1),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,5.907316124,-1.743021259,Contender,-0.174048542,0,-1.15162722,-0.977578679
90,6/1/11,AtlantaHawks,1,6,-0.070952677,2010,44,38,0.537,3,Lost Conf. Semis,A. HorfordåÊ(10.1),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.015064775,1.070952677,Contender,-0.174048542,0,-1.15162722,-0.977578679
91,7/1/11,AtlantaHawks,0,7,0.483590028,2010,44,38,0.537,3,Lost Conf. Semis,A. HorfordåÊ(10.1),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.590009473,-0.483590028,Contender,-0.174048542,0,-1.15162722,-0.977578679
92,8/1/11,AtlantaHawks,0,8,-0.124963903,2010,44,38,0.537,3,Lost Conf. Semis,A. HorfordåÊ(10.1),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.991981801,0.124963903,Contender,-0.174048542,0,-1.15162722,-0.977578679
93,9/1/11,AtlantaHawks,0,9,-0.338728604,2010,44,38,0.537,3,Lost Conf. Semis,A. HorfordåÊ(10.1),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,0.77454719,0.338728604,Contender,-0.174048542,0,-1.15162722,-0.977578679
94,10/1/11,AtlantaHawks,0,10,0.4940043,2010,44,38,0.537,3,Lost Conf. Semis,A. HorfordåÊ(10.1),Playoffs,-0.192154724,0.418180416,-0.61033514,Atlanta,2341000,1.597482006,-0.4940043,Contender,-0.174048542,0,-1.15162722,-0.977578679
